MID,DISCIPL,COMMONNAME,PHONE,WEBURL,LONGITUDE,LATITUDE,GSTREET,GCITY,GSTATE,GZIP5
8400100026,ART,MOBILE MUSEUM OF ART,2512085200,HTTP://WWW.MOBILEMUSEUMOFART.COM/,-88.15462,30.70401,4850 MUSEUM DR,MOBILE,AL,36689
8400100029,ART,MONTGOMERY MUSEUM OF FINE ARTS,3342404333,HTTP://MMFA.ORG/,-86.2087,32.3526,ONE MUSEUM DRIVE,MONTGOMERY,AL,36117
8400100036,HST,HISTORY MUSEUM OF MOBILE,2512087569, ,-88.07704,30.69234,1664 SPRING HILL AVE,MOBILE,AL,36604
8400100037,BOT,JASMINE HILL GARDENS AND OUTDOOR MUSEUM,3342635713,HTTP://WWW.JASMINEHILL.ORG,-86.1874,32.49562,3001 JASMINE HILL RD,WETUMPKA,AL,36093
8400100045,ART,JAN DEMPSEY ARTS CENTER,3345012963, ,-85.4782,32.61408,222 E DRAKE AVE,AUBURN,AL,36830
8400100046,BOT,HUNTSVILLE BOTANICAL GARDEN,2568304447, ,-86.61819,34.71282,3737 BOB WALLACE AVE,HUNTSVILLE,AL,35805
8400100056,HST,HANK WILLIAMS SENIOR BOYHOOD HOME AND MUSEUM,3343762396,HTTP://WWW.HANKMUSEUM.COM/HOME/,-86.74566,31.65737,127 ROSE STREET,GEORGIANA,AL,36033
8400100065,ART,FAYETTE ART MUSEUM,2059328727, ,-87.83088,33.68726,203 TEMPLE AVE N,FAYETTE,AL,35555
8400100086,ART,ALABAMA FOLK ART MUSEUM,2053214929,HTTP://WWW.ARTFOLKGALLERY.ORG,-86.80921,33.51275,1731 1ST AVE N,BIRMINGHAM,AL,35203
8400100094,HST,BIRMINGHAM HISTORY CENTER,2052024146,HTTP://WWW.BIRMINGHAMHISTORYCENTER.ORG/,-86.80949,33.51496,1807 THIRD AVENUE NORTH,BIRMINGHAM,AL,35203
8400100095,ART,BARE HANDS GALLERY, ,HTTP://WWW.BAREHANDSINC.ORG/,-86.80581,33.51634,PO BOX 13961,BIRMINGHAM,AL,35202
8400100096,BOT,BELLINGRATH GARDENS AND HOME,2519732217,HTTP://WWW.BELLINGRATH.ORG,-88.15263,30.4637,12401 BELLINGRATH GARDEN,THEODORE,AL,36582
8400100105,SCI,RED BAY MUSEUM, , ,-88.14745,34.44257,400 4TH ST SW,RED BAY,AL,35582
8400100119,HST,PIONEER MUSEUM OF ALABAMA,3345663597,HTTP://WWW.PIONEER-MUSEUM.ORG,-85.99719,31.85412,248 HIGHWAY 231 N,TROY,AL,36081
8400100124,ART,BIRMINGHAM MUSEUM OF ART,2052542565,HTTP://WWW.ARTSBMA.ORG/,-86.80939,33.52206,2000 8TH AVENUE NORTH,BIRMINGHAM,AL,35203
8400100127,HST,BESSEMER HALL OF HISTORY,2054261633,HTTP://WWW.BESSEMERHALLOFHISTORY.ORG,-86.95051,33.40094,1905 ALABAMA AVE,BESSEMER,AL,35020
8400100140,HST,BLUE AND GREY MUSEUM OF NORTH ALABAMA,2563504018,HTTP://WWW.ALABAMACIVILWARMUSEUM.COM/,-86.98777,34.59053,723 BANK ST NW,DECATUR,AL,35601
8400100149,ART,WALNUT GALLERY,2563282836,HTTP://WWW.WALNUTGALLERY.ORG,-86.01258,34.01135,826 WALNUT STREET,GADSDEN,AL,35901
8400100166,HST,FAIRHOPE MUSEUM OF HISTORY,2519291471, ,-87.9029,30.52517,24 N SECTION ST,FAIRHOPE,AL,36533
8400100167,HST,SAVING OUR FLYING HERITAGE THROUGH A FLYING MUSEUM, , ,-86.74156,34.7146,189 BAITES RD,ARDMORE,AL,35758
8400100172,ART,ALABAMA RIVER REGION ARTS CENTER,3345789485,HTTP://WWW.ARRAC.ORG,-86.20616,32.59985,PO BOX 1172,WETUMPKA,AL,36092
8400100182,HST,ALABAMA VETERANS MUSEUM & ARCHIVES,2567717578,HTTP://WWW.ALABAMAVETERANSMUSEUM.COM,-86.97072,34.80672,100 PRYOR ST W,ATHENS,AL,35612
8400100190,HST,FORTSON MUSEUM & ARCHIVES, , ,-86.40964,33.67461,13475 US HIGHWAY 411,ODENVILLE,AL,35120
8400100195,CMU,CHILDREN'S MUSEUM OF ALABAMA,3348322777, ,-86.31088,32.38083,105 TALLAPOOSA STREET,MONTGOMERY,AL,36102
8400100199,HST,ANCIENT AFRICA ENSLAVEMENT AND CIVIL WAR MUSEUM,3344184889, ,-87.01614,32.40797,1410 WATER AVE,SELMA,AL,36703
8400100203,HST,JESSE OWENS MUSEUM AND PARK,2569743636,HTTP://JESSEOWENSMUSEUM.ORG/WORDPRESS1/,-87.2792,34.53612,174 COUNTY ROAD 241,MOULTON,AL,35650
8400100205,SCI,COOKS NATURAL SCIENCE MUSEUM,2563509347, ,-86.98293,34.58039,412 13TH ST SE,DECATUR,AL,35601
8400100206,ART,MUSTANG MUSEUM OF AMERICA, , ,-86.49679,33.57656,PO BOX 150,MOODY,AL,35004
8400100207,SCI,HOMER B WILSON JR VINTAGE MUSEUM, ,HTTP://HOMERWILSONVINTAGEMUSEUM.ORG,-86.2544,34.40105,20524 HWY 431,GUNTERSVILLE,AL,35976
8400100212,NAT,MUSANN CORP, , ,-85.82646,33.65842,PO BOX 1587,ANNISTON,AL,36202
8400100213,ZAW,MONTGOMERY AREA ZOOLOGICAL SOCIETY,3342404900,HTTP://WWW.MONTGOMERYZOO.COM/,-86.27306,32.42108,2301 COLISEUM PKWY,MONTGOMERY,AL,36109
8400100233,SCI,NORTH ALABAMA SCIENCE CENTER,2568374536,HTTPS://SCI-QUEST.ORG/,-86.69326,34.75149,1435 PARAMOUNT DRIVE,HUNTSVILLE,AL,35805
8400100240,ZAW,MOBILE ZOO,2516491845,HTTP://WWW.MOBILEZOO.CC,-88.39683,30.82633,15161 WARD RD W,WILMER,AL,36587
8400100241,ZAW,BIRMINGHAM ZOO,2058790409,HTTP://WWW.BIRMINGHAMZOO.COM,-86.77398,33.48437,2630 CAHABA RD,MOUNTAIN BRK,AL,35223
8400100247,ART,EASTERN SHORE ART ASSOCIATION,2519282228,HTTP://WWW.ESARTCENTER.COM,-87.90355,30.52659,401 OAK AVE,FAIRHOPE,AL,36532
8400100248,HST,STURDIVANT HALL MUSEUM,3348725626, ,-87.02827,32.41279,713 MABRY ST,SELMA,AL,36702
8400100254,ART,GADSDEN MUSEUM OF FINE ARTS,2565467365,HTTP://WWW.GADSDENMUSEUM.COM/,-86.00513,34.01391,515 BROAD ST,GADSDEN,AL,35901
8400100270,SCI,EXPLORE CENTER,2513448066,HTTP://WWW.EXPLOREUM.COM,-88.10646,30.6708,PO BOX 1968,MOBILE,AL,36633
8400100279,ZAW,ALABAMA WILDLIFE CENTER,2056637930,HTTP://WWW.AWRC.ORG,-86.79516,33.32452,100 TERRACE DR,PELHAM,AL,35124
8400100286,HST,ALABAMA MINING MUSEUM,2056482442, ,-87.09091,33.73169,120 EAST ST,DORA,AL,35062
8400100287,HST,SELMA-DALLAS COUNTY MUSEUM OF HISTORY AND ARCHIVES,3348742197, ,-87.01422,32.40885,4 MARTIN LUTHER KING STREET,SELMA,AL,36702
8400100290,ART,COLEMAN CENTER FOR THE ARTS,2053922005,HTTP://COLEMANARTS.ORG/,-88.29437,32.48383,630 AVENUE A ST,YORK,AL,36925
8400100295,HST,BURRITT MUSEUM,2565362882,HTTP://WWW.BURRITTONTHEMOUNTAIN.COM,-86.53769,34.72003,3101 BURRITT DR SE,HUNTSVILLE,AL,35801
8400100301,HST,SCOTTSBORO JACKSON HERITAGE CENTER ASSOCIATION, ,HTTP://WWW.SJHC.US/,-86.03733,34.67179,208 SOUTH HOUSTON STREET,SCOTTSBORO,AL,35768
8400100302,CMU,CHOM INCORPORATED OF TUSCALOOSA COUNTY,2053494235,HTTP://WWW.CHOMONLINE.ORG,-87.56584,33.21045,2213 UNIVERSITY BLVD,TUSCALOOSA,AL,35401
8400100303,ART,KENTUCK ART CENTER & MUSEUM,2057581257,HTTP://KENTUCK.ORG,-87.57842,33.21904,503 MAIN AVE,NORTHPORT,AL,35476
8400100313,ART,WIREGRASS MUSEUM OF ART,3347943871,HTTP://WWW.WIREGRASSMUSEUM.ORG/,-85.38911,31.22382,126 MUSEUM AVE,DOTHAN,AL,36302
8400100318,ART,CHOCTAW COUNTY HISTORICAL MUSEUM,2518432501, ,-88.23785,32.11194,1596 TIMBERLANE RD,BUTLER,AL,36904
8400100331,HST,MARIETTA L JOHNSON MUSEUM,2519908601,HTTP://MARIETTAJOHNSON.ORG,-87.90081,30.52388,10 S SCHOOL ST,FAIRHOPE,AL,36532
8400100333,BOT,DOTHAN AREA BOTANICAL GARDENS,3347933224,HTTP://WWW.DABG.COM,-85.34601,31.28818,5130 HEADLAND AVE,DOTHAN,AL,36303
8400100334,SCI,STATE OF ALABAMA ENGINEERING HALL OF FAME, ,HTTP://AEHOF.ENG.UA.EDU/,-87.54712,33.20964,PO BOX 870200,TUSCALOOSA,AL,35487
8400100337,ART,GADSDEN MUSEUM OF ART,2565467365,HTTP://WWW.GADSDENMUSEUM.COM/,-86.04895,34.02262,2829 W MEIGHAN BLVD,GADSDEN,AL,35904
8400100340,HST,MONROE COUNTY HERITAGE MUSEUM,2515757433, ,-87.32765,31.51158,31 NORTH ALABAMA AVE,MONROEVILLE,AL,36461
8400100341,ART,ISABEL ANDERSON COMER MUSEUM & ARTS CENTER,2562454016,HTTP://COMERMUSEUM.WEEBLY.COM,-86.25086,33.16453,711 N BROADWAY AVE,SYLACAUGA,AL,35150
8400100346,HST,ALICEVILLE MUSEUM,2053732363,HTTP://WWW.ALICEVILLEMUSEUM.ORG/,-88.16462,33.12964,104 BROAD ST PLAZA,ALICEVILLE,AL,35442
8400100367,HST,TONEY SCHOOL COMMUNITY MUSEUM, , ,-86.77529,34.89494,785 TONEY SCHOOL RD,TONEY,AL,35773
8400100374,ZAW,ANIMAL HOUSE EXOTIC ANIMALS & OSTRICH FARM,2569748634,HTTP://WWW.ANIMALHOUSE.ORG,-87.38741,34.53421,2056 COUNTY ROAD 161,MOULTON,AL,35650
8400100376,NAT,AMERICAN INDIAN MUSEUM, , ,-86.59152,34.75987,2003 POOLE DR NW,HUNTSVILLE,AL,35810
8400100388,BOT,ALDRIDGE GARDENS,2056828019,HTTP://ALDRIDGEGARDENS.COM/,-86.79432,33.38533,3530 LORNA RD,HOOVER,AL,35216
8400100390,HST,GULF COAST INTERNATIONAL MUSEUM, , ,-88.04401,30.69651,PO BOX 204,MOBILE,AL,36601
8400100394,HST,VULCAN PARK AND MUSEUM,2059331409,HTTP://VISITVULCAN.COM/,-86.79686,33.49037,1701 VALLEY VIEW DR,BIRMINGHAM,AL,35209
8400100397,ART,TROY-PIKE CULTURAL ARTS CENTER,3346702287,HTTP://WWW.TPCAC.ORG,-85.97027,31.80862,300 EAST WALNUT STREET,TROY,AL,36081
8400100400,ART,EAST ALABAMA ARTISTS, , ,-85.82646,33.65842,PO BOX 443,ANNISTON,AL,36202
8400100411,HST,MARSHALL COUNTY SPORTS HALL OF FAME, ,HTTP://WWW.MCSHOF.ORG/,-86.17222,34.20111,PO BOX 744,BOAZ,AL,35957
8400100421,HST,HEART OF DIXIE RAILROAD MUSEUM,2056683435,HTTP://WWW.HODRRM.ORG/,-86.7499,33.1092,1919 9TH ST,CALERA,AL,35040
8400100422,HST,NORTH ALABAMA RAILROAD MUSEUM,2568516276, ,-86.5462,34.78365,694 CHASE RD NE,HUNTSVILLE,AL,35815
8400100431,CMU,CHILDREN'S MUSEUM OF THE SHOALS,2567650500,HTTP://SHOALSCHILDRENSMUSEUM.ORG/,-87.64879,34.84045,2810 DARBY DR,FLORENCE,AL,35630
8400100445,HST,COURTLAND HERITAGE MUSEUM,2566372710,HTTP://WWW.NORTHALABAMA.ORG/DO,-87.31032,34.66655,252 COLLEGE ST,COURTLAND,AL,35618
8400100459,HST,SLOSS FURNACES, ,HTTP://SLOSSFURNACES.COM/,-86.78855,33.52109,20 32ND ST N,BIRMINGHAM,AL,35222
8400100461,BOT,MCDOWELL ENVIRONMENTAL CENTER,2053871806,HTTP://CAMPMCDOWELL.DIOALA.ORG/,-87.38654,34.00155,105 DELONG RD,NAUVOO,AL,35578
8400200008,NAT,SHELDON JACKSON MUSEUM,9077478981,HTTP://MUSEUMS.ALASKA.GOV/SHELDON_JACKSON/SJHOME.HTML,-135.32213,57.05064,104 COLLEGE DR,SITKA,AK,99835
8400200012,HST,MUSEUM OF ALASKA TRANSPORTATION AND INDUSTRY,9073761211,HTTP://WWW.MUSEUMOFALASKA.ORG/,-149.44139,61.58414,3800 W MUSEUM DR,WASILLA,AK,99687
8400200014,HST,KODIAK MILITARY HISTORY MUSEUM,9074867015,HTTP://WWW.KADIAK.ORG,-152.38722,57.79856,1417 MILL BAY RD,KODIAK,AK,99615
8400200017,HST,KNIK MUSEUM,9073762005, ,-149.43945,61.58245,300 NORTH BOUNDARY STREET,WASILLA,AK,99654
8400200027,HST,ALASKA HERITAGE MUSEUM,9072652834, ,-149.97254,61.17925,4721 AIRCRAFT DR,ANCHORAGE,AK,99502
8400200031,HST,ALASKA VETERANS MUSEUM,9076778802, ,-149.87855,61.21406,334 WEST 4TH AVENUE SUIT,ANCHORAGE,AK,99501
8400200050,ZAW,SITKA SOUND SCIENCE CENTER,9077478878,HTTP://WWW.SITKASOUNDSCIENCECENTER.ORG,-135.32401,57.04983,834 LINCOLN STREET SUITE,SITKA,AK,99835
8400200051,CMU,CHILDREN'S MUSEUM OF ALASKA, , ,-149.86107,61.11024,PO BOX 112772,ANCHORAGE,AK,99511
