MID,DISCIPLINE,COMMONNAME,PHONE,WEBURL,LONGITUDE,LATITUDE,GSTREET,GCITY,GSTATE,GZIP5
8400100009,HSC,STURDIVANT HALL,3348725626, ,-87.02243,32.40623,PO BOX 1205,SELMA,AL,36702
8400100011,HSC,SLOSS FURNACES NATIONAL HISTORIC LANDMARK,2053241911,HTTP://SLOSSFURNACES.COM/,-86.78855,33.52109,20 32ND ST N,BIRMINGHAM,AL,35222
8400100016,HSC,NORTHPORT HERITAGE MUSEUM,2055238720,HTTP://NORTHPORT-SMITHSONIAN.ORG/,-87.58354,33.23036,PO BOX 393,NORTHPORT,AL,35476
8400100018,HSC,ORDEMAN-SHAW HOUSE,3106485578, ,-86.30384,32.38171,310 N HULL ST,MONTGOMERY,AL,36104
8400100028,HSC,MAGNOLIA GROVE,3346248618,HTTP://PRESERVEALA.ORG/MAGNOLIAGROVE.ASPX?SM=G_K,-87.59424,32.71317,PO BOX 195,GREENSBORO,AL,36744
8400100031,HSC,MUSEUMS OAKLEIGH MUSEUM,2514321281, ,-88.06003,30.68068,300 OAKLEIGH PL,MOBILE,AL,36604
8400100040,HSC,IMAGINATION PLACE,2565432787,HTTP://WWW.CULTURALARTS.ORG,-86.00513,34.01391,501 BROAD ST,GADSDEN,AL,35901
8400100042,HSC,SAVARY LIBRARY - GALANGUE ROOM AFRICAN ARTIFACTS COLLECTION, , ,-86.10978,33.43327,627 WEST BATTLE STREET,TALLADEGA,AL,35160
8400100057,HSC,FORT MORGAN STATE HISTORIC SITE,2515407127,HTTP://FORTMORGAN.ORG/,-88.00148,30.22975,110 STATE HIGHWAY 180,GULF SHORES,AL,36542
8400100066,HSC,FENDALL HALL,3346878469,HTTP://PRESERVEALA.ORG/FENDALLHALL.ASPX?SM=G_E,-85.1683,31.8911,114 STONE RIDGE RD,EUFAULA,AL,36027
8400100070,HSC,CLEMENTS HOUSE,8022084283, ,-87.58354,33.23036,PO BOX 393,NORTHPORT,AL,35476
8400100073,HSC,CLARKE CO HISTORICAL MUSEUM,2512752014,HTTP://CLARKECOUNTYAL.COM/,-87.78712,31.68673,116 COBB STREET,GROVE HILL,AL,36451
8400100075,HSC,FAYETTE HISTORICAL MUSEUM,2059048791, ,-87.83093,33.68378,221 TEMPLE AVE S,FAYETTE,AL,35555
8400100077,HSC,CHEROKEE HISTORICAL MUSEUM,2569277835,HTTP://WWW.MUSEUMATCENTRE.COM/,-85.67829,34.15357,101 E MAIN ST,CENTRE,AL,35960
8400100082,HSC,AMERICAN VILLAGE,2056653535,HTTP://WWW.AMERICANVILLAGE.ORG/SITE/PAGESERVER,-86.85865,33.10622,3727 HIGHWAY 119,MONTEVALLO,AL,35115
8400100083,HSC,ALABAMA CONSTITUTION VILLAGE,2565648100,HTTP://WWW.EARLYWORKS.COM/ALABAMA-CONSTITUTION-VILLAGE/,-86.57223,34.72664,109 GATES AVENUE SOUTHWEST,HUNTSVILLE,AL,35801
